1,Tata Sampann Organic Toor Daal,95,1 kg,Toor dal is a staple in the Indian diet. It's nutritious and can be easily digested. Tata Sampann's Toor Dal has a rich flavour and aroma and provides essential amino acids for complete protein. Used in a variety of soups salads sweets and savouries. Toor dal is an essential in every household.High Protein: Dals or Pulses are known to be one of the best sources of protein. Tata Sampann Dals are unpolished and do not undergo artificial polishing with water oil or leather thereby retaining their goodness and protein content.
2,Tata Sampann Organic Dal Tadka Masala,100,1 kg,One of our childhood favourites. Dal Tadka is close to everyone's hearts. And that is why Tata Sampann's Dal Tadka Masala is the ideal choice for making this delicious and hearty recipe that all of us revere.
3,Tata Sampann Organic Chana Daal,105, 1 kg,Chana dal is a staple in the Indian diet. It's nutritious and can be easily digested. Tata Sampann's Chana Dal has a rich flavour and aroma and provides essential amino acids for complete protein. Used in a variety of soups salads sweets and savouries chana dal is an essential in every household. High Protein; Dals or Pulses are known to be one of the best sources of protein. Tata Sampann Dals are unpolished and do not undergo artificial polishing with water; oil or leather thereby retaining their goodness and protein content
